Genus,Species,Family,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Iniistius,griffithsi,Labridae,0.01122,3.04,1,14.3,standard length,3.4,28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Sillago,sihama,Sillaginidae,0.006234,3.061051,1,31,standard length,3.18,23.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Orectolobus,wardi,Orectolobidae,0.00389,3.12,1,63,total length,4,36.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Pteragogus,flagellifer,Labridae,0.0166,2.95,1,20,total length,3.5,28.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Chaetodon,oxycephalus,Chaetodontidae,0.02291,3.01,1,25,total length,3.48,19.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Siganus,stellatus,Siganidae,0.0441,2.597,1,40,total length,2.7,24.3,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Carcharhinus,limbatus,Carcharhinidae,0.022941,2.881574,1,275,total length,4.46,55.45,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Choerodon,azurio,Labridae,0.01698,3.03,1,40,total length,3.5,42.06,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Emmelichthyops,atlanticus,Haemulidae,0.00389,3.12,1,13,total length,3.9,17.89,"Tropical Atlantic",,planktivore,planktivore,large group
Rhinobatos,lentiginosus,Rhinobatidae,0.00309,3.09,1,75,total length,3.55,49.83,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Pomacentrus,similis,Pomacentridae,0.02344,2.99,1,7,total length,2.7,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Parapercis,lineopunctata,Pinguipedidae,0.00646,3.1,1,7.41,standard length,3.4,15.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Hypanus,americana,Dasyatidae,0.0739,2.81,1,200,wing diameter,3.72,90,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,pair
Stegastes,albifasciatus,Pomacentridae,0.02138,2.98,1,13,total length,2,24.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Diodon,holocanthus,Diodontidae,0.120696,2.724876,1,50,total length,3.31,27.17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Choerodon,robustus,Labridae,0.01698,3.03,1,35,total length,3.35,36.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Cirripectes,hutchinsi,Blenniidae,0.00741,3,1,10.6,standard length,2,25.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Serranus,maytagi,Serranidae,0.01096,3.06,1,,,3.5,28,"Tropical Atlantic",,planktivore,macro-invertivore,small group
Rypticus,nigripinnis,Serranidae,0.011,3.043,1,20.3,total length,3.8,25.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Labrichthys,unilineatus,Labridae,0.01503,3,1,17.5,total length,3.34,26.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,solitary
Chaetodon,wiebeli,Chaetodontidae,0.02291,3.01,1,19,total length,2.72,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Chaetodon,auriga,Chaetodontidae,0.037129,2.873369,1,23,total length,3.13,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,pair
Malacanthus,latovittatus,Malacanthidae,0.00537,3.03,1,45,standard length,3.5,51.7,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Plectroglyphidodon,randalli,Pomacentridae,0.02239,2.99,1,9,total length,2.3,18.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Ecsenius,bicolor,Blenniidae,0.028412,2.455228,1,11,total length,2,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,cropper/grazer,
Parupeneus,barberinus,Mullidae,0.00627,3.195,1,60,total length,3.44,39.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Bothus,swio,Bothidae,0.01047,3,1,,,3.7,47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Dischistodus,melanotus,Pomacentridae,0.01479,2.98,1,16,total length,2,27.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Halichoeres,argus,Labridae,0.01746,2.95682,1,12,total length,3.4,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pseudophycis,bachus,Moridae,0.00589,3.12,1,90,total length,4.5,34.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Xyrichtys,novacula,Labridae,0.0692,2.24,1,38,total length,3.51,36.27,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Diagramma,melanacrum,Haemulidae,0.0123,3.01,1,45,standard length,3.6,50.59,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Malacanthus,brevirostris,Malacanthidae,0.00537,3.03,1,32,total length,3.5,33.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Rhizoprionodon,porosus,Carcharhinidae,0.036688,2.93175,1,110,total length,4,50.55,"Tropical Atlantic",,piscivore,pisci-invertivore,solitary
Menidia,beryllina,Atherinopsidae,0.00525,3.08,1,15,total length,3.2,18.38,"Tropical Atlantic",,planktivore,planktivore,large group
Macropharyngodon,negrosensis,Labridae,0.01,3.06,1,12,total length,3.5,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Ecsenius,dentex,Blenniidae,0.00741,3,1,4.8,standard length,2,12.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,cropper/grazer,
Chaetodon,falcula,Chaetodontidae,0.02291,3.01,1,20,total length,3.5,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Dactylopterus,tridigitatus,Dactyloscopidae,0.00389,3.12,1,9,total length,4.4,10,"Tropical Atlantic",,piscivore,piscivore,solitary
Serranus,baldwini,Serranidae,0.01096,3.06,1,12,total length,4.1,17,"Tropical Atlantic",,piscivore,pisci-invertivore,small group
Kuhlia,marginata,Kuhliidae,0.01126,3.104869,1,17.9,standard length,3.4,33.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Acanthurus,nigrofuscus,Acanthuridae,0.014309,3.096389,1,21,total length,2,27.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,medium group
Dischistodus,perspicillatus,Pomacentridae,0.01479,2.98,1,18,total length,2,29.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Zoramia,fragilis,Apogonidae,0.01549,3.07,1,5.5,total length,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Chlorurus,japanensis,Scaridae,0.01413,3.04,1,31,total length,2,25.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,excavator,solitary
Chaetodon,zanzibarensis,Chaetodontidae,0.02291,3.01,1,12,total length,3.34,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Pempheris,klunzingeri,Pempheridae,0.01585,2.99,1,18,total length,3.4,24.63,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Platybelone,argalus argalus,Belonidae,0.001305,3.148622,1,50,total length,4.5,39.42,"Tropical Atlantic",,piscivore,piscivore,medium group
Anchoa,spinifer,Engraulidae,0.0035,3.25,1,24,total length,4.1,22.94,"Tropical Atlantic",,piscivore,pisci-invertivore,large group
Bodianus,diplotaenia,Labridae,0.01202,3.06,1,76,total length,3.44,61.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Amblyglyphidodon,indicus,Pomacentridae,0.02239,2.99,1,8.3,standard length,2.7,21.72,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Liopropoma,rubre,Serranidae,0.01122,3.04,1,10,total length,3.4,15,"Tropical Atlantic",,planktivore,planktivore,small group
Centropyge,tibicen,Pomacanthidae,0.054527,2.744557,1,19,total length,2.79,25.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Enneanectes,pectoralis,Tripterygiidae,0.005,3.08,1,4,total length,2.8,10,"Tropical Atlantic",,herbivore-detritivore,detritivore,small group
Larimus,breviceps,Sciaenidae,0.010053,3.083608,1,31,total length,3.79,24.8,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Caranx,caninus,Carangidae,0.0129,2.98,1,101,fork length,3.9,53.76,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Ctenogobius,saepepallens,Gobiidae,0.00724,3,1,5,total length,3.35,12.01,"Tropical Atlantic",,invertivore-mobile,micro-invertivore,small group
Pomacentrus,moluccensis,Pomacentridae,0.048625,2.784177,1,9,total length,2.47,24.71,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Sargocentron,violaceum,Holocentridae,0.0166,2.97,1,45,total length,3.55,29.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Priacanthus,hamrur,Priacanthidae,0.018258,2.841246,1,45,total length,3.82,24.42,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Chromis,hypsilepis,Pomacentridae,0.01479,2.98,1,16,standard length,2.71,32.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Prognathodes,aya,Chaetodontidae,0.02188,3.02,1,15,total length,3.4,12,"Tropical Atlantic",,invertivore-sessile,micro-invertivore,solitary
Xanthichthys,lima,Balistidae,0.01,3.04,1,,,3.5,38.43,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Rabaulichthys,squirei,Serranidae,0.00389,3.12,1,6.22,standard length,3.3,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pseudanthias,lunulatus,Serranidae,0.01,3.04,1,8,standard length,3.3,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Bodianus,atrolumbus,Labridae,0.01202,3.06,1,30.7,standard length,3.5,44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Halichoeres,nicholsi,Labridae,0.01,3.08,1,38,total length,4,37.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Caesio,varilineata,Caesioinidae,0.01259,3.09,1,40,total length,3.4,28.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Apolemichthys,xanthopunctatus,Pomacanthidae,0.0302,2.89,1,25,total length,2.64,30.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,small group
Hoplolatilus,purpureus,Malacanthidae,,,1,,,,,,,,,
Mugil,cephalus,Mugilidae,0.012592,3.00135,1,100,standard length,2.48,50.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,large group
Notolabrus,tetricus,Labridae,0.01995,2.99,1,50,total length,3.6,51.81,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Serranus,tigrinus,Serranidae,0.0145,3.048,1,29,fork length,3.72,38,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,pair
Nemipterus,peronii,Nemipteridae,0.009976,3.079966,1,29,standard length,3.6,26.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Schultzea,beta,Serranidae,0.00468,3.14,1,10,total length,3.4,13.79,"Tropical Atlantic",,planktivore,planktivore,medium group
Zebrasoma,scopas,Acanthuridae,0.034129,2.939876,1,40,standard length,2,66.27,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Hemiglyphidodon,plagiometopon,Pomacentridae,0.002239,2.99,1,18,total length,2,29.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Sphyraena,guachancho,Sphyraenidae,0.00808,2.88,1,200,total length,4.38,79.24,"Tropical Atlantic",,piscivore,piscivore,large group
Thalassoma,hebraicum,Labridae,0.00977,3.05,1,23,total length,3.5,30.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Centropomus,pectinatus,Centropomidae,0.014412,2.924673,1,56,total length,4.03,26.38,"Tropical Atlantic",,piscivore,pisci-invertivore,small group
Cephalopholis,nigripinnis,Serranidae,0.01259,3.05,1,28,total length,4,31.12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Cantherhines,cerinus,Monocanthidae,0.02188,2.91,1,12,total length,3,20.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Cynoponticus,savanna,Muraenesocidae,0.0009,2.74,1,150,total length,3.5,67.67,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,small group
Apogon,pseudomaculatus,Apogonidae,0.02,2.943,0.961538,11,total length,3.4,10.53,"Tropical Atlantic",,planktivore,planktivore,solitary
Istiblennius,edentulus,Blenniidae,0.00741,3,1,16,total length,2,27.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,cropper/grazer,
Gerres,longirostris,Gerreidae,0.015937,2.926372,1,44.5,total length,3.5,38.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Apolemichthys,trimaculatus,Pomacanthidae,0.0302,2.89,1,26,total length,2.64,31.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,small group
Arothron,mappa,Tetraodontidae,0.02754,2.88,1,65,total length,2.83,37.48,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,
Epinephelus,maculatus,Serranidae,0.012652,3.027434,1,60.5,total length,4.13,37.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Petroscirtes,mitratus,Blenniidae,0.00537,3.05,1,8.5,total length,2.45,17.13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,cropper/grazer,small group
Pomadasys,commersonnii,Haemulidae,0.0209,3.001,0.817,80,total length,3.25,34.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Naso,annulatus,Acanthuridae,0.05103,2.71537,0.864,100,total length,2.12,45.06,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Chaetodipterus,zonatus,Ephippidae,0.029576,2.697843,1,65,total length,3.33,44.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,piscivore,small group
Platax,orbicularis,Ephippidae,0.0425,2.975,1,60,total length,3.33,38.55,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,pisci-invertivore,small group
Chaetodon,larvatus,Chaetodontidae,0.0257,3.1,1,12,total length,3.38,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Larimus,fasciatus,Sciaenidae,0.00891,3.07,1,25,total length,3.6,15.79,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Chelmon,rostratus,Chaetodontidae,0.045499,2.926772,1,20,total length,3.5,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Thalassoma,jansenii,Labridae,0.00977,3.05,1,20,total length,3.5,28.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Chromis,notata,Pomacentridae,0.01778,2.99,1,17,total length,3.4,28.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Chaetodon,madagaskariensis,Chaetodontidae,0.02291,3.01,1,13,total length,2.76,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Nectamia,viria,Apogonidae,0.01549,3.07,1,7.2,standard length,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,
Hippocampus,zosterae,Syngnathidae,0.00427,3,1,5,total length,3.2,36.78,"Tropical Atlantic",,invertivore-mobile,micro-invertivore,pair
Cheilodipterus,intermedius,Apogonidae,0.00646,3.19,1,20,standard length,4.2,26.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Heniochus,pleurotaenia,Chaetodontidae,0.02188,3.02,1,17,total length,3.5,12.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Pentapodus,emeryii,Nemipteridae,0.01514,2.97,1,35,total length,3.61,29.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Xanthichthys,lineopunctatus,Balistidae,0.0257,2.94,1,30,total length,3.5,31.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Prionace,glauca,Carcharhinidae,0.002075,3.26791,1,400,total length,4.35,76.5,"Tropical Atlantic",,piscivore,pisci-invertivore,small group
Halichoeres,socialis,Labridae,0.01,3.08,1,4.7,standard length,3.4,10.53,"Tropical Atlantic",,planktivore,planktivore,medium group
Schuettea,scalaripinnis,Monodactylidae,0.02512,2.97,1,20,total length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Giganthias,immaculatus,Serranidae,0.00933,2.97,1,42,total length,3.4,42.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,
Suttonia,suttoni,Serranidae,0.00407,3.14,1,7.8,total length,3.5,12.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Anoplocapros,lenticularis,Aracanidae,0.01995,3.01,1,33,total length,3.4,17.57,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Thalassoma,purpureum,Labridae,0.00977,3.05,1,46,total length,3.75,44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Plotosus,lineatus,Plotosidae,0.008,2.95,1,32,total length,3.6,28.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Sciaenops,ocellatus,Sciaenidae,0.008308,3.033467,1,155,total length,3.74,42.92,"Tropical Atlantic",,piscivore,pisci-invertivore,medium group
Pomacentrus,wardi,Pomacentridae,0.02344,2.99,1,8,standard length,2,24.98,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
