Genus,Species,Family,Species_name,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Euthynnus,lineatus,Scombridae,Euthynnus lineatus,0.026,2.836,1,84,fork length,3.83,43.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,large group
Canthigaster,rostrata,Tetraodontidae,Canthigaster rostrata,0.02818,2.94,1,12,total length,3.28,10.53,Tropical Atlantic,,omnivore,micro-invertivore,solitary
Cynoscion,nebulosus,Sciaenidae,Cynoscion nebulosus,0.0131,2.994,1,100,total length,3.98,58.44,Tropical Atlantic,,piscivore,pisci-invertivore,medium group
Gymnothorax,castaneus,Muraenidae,Gymnothorax castaneus,0.00095,3.1,1,150,total length,4.03,78.17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Pterocaesio,chrysozona,Caesioinidae,Pterocaesio chrysozona,0.0408,2.7,0.818331,21,total length,3.4,16.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Anguilla,anguilla,Anguillidae,Anguilla anguilla,0.000859,3.235023,1,50,total length,3.62,64.35,Tropical Atlantic,,piscivore,macro-invertivore,small group
Neopomacentrus,bankieri,Pomacentridae,Neopomacentrus bankieri,0.01479,2.98,1,8,total length,3.4,16.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Doratonotus,megalepis,Labridae,Doratonotus megalepis,0.01122,3.03,1,9.4,total length,3.3,16,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Thryssa,baelama,Engraulidae,Thryssa baelama,0.004013,3.423086,1,16,standard length,2.89,22.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Rhizoprionodon,oligolinx,Carcharhinidae,Rhizoprionodon oligolinx,0.0033,3.09,1,,,4.14,39.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Parupeneus,seychellensis,Mullidae,Parupeneus seychellensis,0.01202,3.09,1,23,standard length,3.4,30,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Heniochus,chrysostomus,Chaetodontidae,Heniochus chrysostomus,0.014881,3.307727,1,18,total length,3.34,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Amphiprion,leucokranos,Pomacentridae,Amphiprion leucokranos,0.02291,2.99,1,12,total length,2.72,23.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Valenciennea,persica,Gobiidae,Valenciennea persica,0.00617,3.08,1,10.3,standard length,3.2,26.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Chaetodon,fremblii,Chaetodontidae,Chaetodon fremblii,0.029,3.17,0.833,13,total length,2.96,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Iniistius,griffithsi,Labridae,Iniistius griffithsi,0.01122,3.04,1,14.3,standard length,3.4,28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Sillago,sihama,Sillaginidae,Sillago sihama,0.006234,3.061051,1,31,standard length,3.18,23.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Orectolobus,wardi,Orectolobidae,Orectolobus wardi,0.00389,3.12,1,63,total length,4,36.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Pteragogus,flagellifer,Labridae,Pteragogus flagellifer,0.0166,2.95,1,20,total length,3.5,28.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Chaetodon,oxycephalus,Chaetodontidae,Chaetodon oxycephalus,0.02291,3.01,1,25,total length,3.48,19.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Siganus,stellatus,Siganidae,Siganus stellatus,0.0441,2.597,1,40,total length,2.7,24.3,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Carcharhinus,limbatus,Carcharhinidae,Carcharhinus limbatus,0.022941,2.881574,1,275,total length,4.46,55.45,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Choerodon,azurio,Labridae,Choerodon azurio,0.01698,3.03,1,40,total length,3.5,42.06,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Emmelichthyops,atlanticus,Haemulidae,Emmelichthyops atlanticus,0.00389,3.12,1,13,total length,3.9,17.89,Tropical Atlantic,,planktivore,planktivore,large group
Rhinobatos,lentiginosus,Rhinobatidae,Rhinobatos lentiginosus,0.00309,3.09,1,75,total length,3.55,49.83,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Pomacentrus,similis,Pomacentridae,Pomacentrus similis,0.02344,2.99,1,7,total length,2.7,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Parapercis,lineopunctata,Pinguipedidae,Parapercis lineopunctata,0.00646,3.1,1,7.41,standard length,3.4,15.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Hypanus,americana,Dasyatidae,Hypanus americana,0.0739,2.81,1,200,wing diameter,3.72,90,Tropical Atlantic,,invertivore-mobile,macro-invertivore,pair
Stegastes,albifasciatus,Pomacentridae,Stegastes albifasciatus,0.02138,2.98,1,13,total length,2,24.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Diodon,holocanthus,Diodontidae,Diodon holocanthus,0.120696,2.724876,1,50,total length,3.31,27.17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Choerodon,robustus,Labridae,Choerodon robustus,0.01698,3.03,1,35,total length,3.35,36.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Cirripectes,hutchinsi,Blenniidae,Cirripectes hutchinsi,0.00741,3,1,10.6,standard length,2,25.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Serranus,maytagi,Serranidae,Serranus maytagi,0.01096,3.06,1,,,3.5,28,Tropical Atlantic,,planktivore,macro-invertivore,small group
Rypticus,nigripinnis,Serranidae,Rypticus nigripinnis,0.011,3.043,1,20.3,total length,3.8,25.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Labrichthys,unilineatus,Labridae,Labrichthys unilineatus,0.01503,3,1,17.5,total length,3.34,26.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,solitary
Chaetodon,wiebeli,Chaetodontidae,Chaetodon wiebeli,0.02291,3.01,1,19,total length,2.72,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Chaetodon,auriga,Chaetodontidae,Chaetodon auriga,0.037129,2.873369,1,23,total length,3.13,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,pair
Malacanthus,latovittatus,Malacanthidae,Malacanthus latovittatus,0.00537,3.03,1,45,standard length,3.5,51.7,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Plectroglyphidodon,randalli,Pomacentridae,Plectroglyphidodon randalli,0.02239,2.99,1,9,total length,2.3,18.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Ecsenius,bicolor,Blenniidae,Ecsenius bicolor,0.028412,2.455228,1,11,total length,2,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,cropper/grazer,
Parupeneus,barberinus,Mullidae,Parupeneus barberinus,0.00627,3.195,1,60,total length,3.44,39.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Bothus,swio,Bothidae,Bothus swio,0.01047,3,1,,,3.7,47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Dischistodus,melanotus,Pomacentridae,Dischistodus melanotus,0.01479,2.98,1,16,total length,2,27.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Halichoeres,argus,Labridae,Halichoeres argus,0.01746,2.95682,1,12,total length,3.4,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pseudophycis,bachus,Moridae,Pseudophycis bachus,0.00589,3.12,1,90,total length,4.5,34.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Xyrichtys,novacula,Labridae,Xyrichtys novacula,0.0692,2.24,1,38,total length,3.51,36.27,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Diagramma,melanacrum,Haemulidae,Diagramma melanacrum,0.0123,3.01,1,45,standard length,3.6,50.59,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Malacanthus,brevirostris,Malacanthidae,Malacanthus brevirostris,0.00537,3.03,1,32,total length,3.5,33.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Rhizoprionodon,porosus,Carcharhinidae,Rhizoprionodon porosus,0.036688,2.93175,1,110,total length,4,50.55,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Menidia,beryllina,Atherinopsidae,Menidia beryllina,0.00525,3.08,1,15,total length,3.2,18.38,Tropical Atlantic,,planktivore,planktivore,large group
Macropharyngodon,negrosensis,Labridae,Macropharyngodon negrosensis,0.01,3.06,1,12,total length,3.5,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Ecsenius,dentex,Blenniidae,Ecsenius dentex,0.00741,3,1,4.8,standard length,2,12.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,cropper/grazer,
Chaetodon,falcula,Chaetodontidae,Chaetodon falcula,0.02291,3.01,1,20,total length,3.5,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Dactylopterus,tridigitatus,Dactyloscopidae,Dactylopterus tridigitatus,0.00389,3.12,1,9,total length,4.4,10,Tropical Atlantic,,piscivore,piscivore,solitary
Serranus,baldwini,Serranidae,Serranus baldwini,0.01096,3.06,1,12,total length,4.1,17,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Kuhlia,marginata,Kuhliidae,Kuhlia marginata,0.01126,3.104869,1,17.9,standard length,3.4,33.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Acanthurus,nigrofuscus,Acanthuridae,Acanthurus nigrofuscus,0.014309,3.096389,1,21,total length,2,27.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,medium group
Dischistodus,perspicillatus,Pomacentridae,Dischistodus perspicillatus,0.01479,2.98,1,18,total length,2,29.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Zoramia,fragilis,Apogonidae,Zoramia fragilis,0.01549,3.07,1,5.5,total length,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Chlorurus,japanensis,Scaridae,Chlorurus japanensis,0.01413,3.04,1,31,total length,2,25.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,excavator,solitary
Chaetodon,zanzibarensis,Chaetodontidae,Chaetodon zanzibarensis,0.02291,3.01,1,12,total length,3.34,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Pempheris,klunzingeri,Pempheridae,Pempheris klunzingeri,0.01585,2.99,1,18,total length,3.4,24.63,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Platybelone,argalus argalus,Belonidae,Platybelone argalus argalus,0.001305,3.148622,1,50,total length,4.5,39.42,Tropical Atlantic,,piscivore,piscivore,medium group
Anchoa,spinifer,Engraulidae,Anchoa spinifer,0.0035,3.25,1,24,total length,4.1,22.94,Tropical Atlantic,,piscivore,pisci-invertivore,large group
Bodianus,diplotaenia,Labridae,Bodianus diplotaenia,0.01202,3.06,1,76,total length,3.44,61.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Amblyglyphidodon,indicus,Pomacentridae,Amblyglyphidodon indicus,0.02239,2.99,1,8.3,standard length,2.7,21.72,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Liopropoma,rubre,Serranidae,Liopropoma rubre,0.01122,3.04,1,10,total length,3.4,15,Tropical Atlantic,,planktivore,planktivore,small group
Centropyge,tibicen,Pomacanthidae,Centropyge tibicen,0.054527,2.744557,1,19,total length,2.79,25.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Enneanectes,pectoralis,Tripterygiidae,Enneanectes pectoralis,0.005,3.08,1,4,total length,2.8,10,Tropical Atlantic,,herbivore-detritivore,detritivore,small group
Larimus,breviceps,Sciaenidae,Larimus breviceps,0.010053,3.083608,1,31,total length,3.79,24.8,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Caranx,caninus,Carangidae,Caranx caninus,0.0129,2.98,1,101,fork length,3.9,53.76,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Ctenogobius,saepepallens,Gobiidae,Ctenogobius saepepallens,0.00724,3,1,5,total length,3.35,12.01,Tropical Atlantic,,invertivore-mobile,micro-invertivore,small group
Pomacentrus,moluccensis,Pomacentridae,Pomacentrus moluccensis,0.048625,2.784177,1,9,total length,2.47,24.71,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Sargocentron,violaceum,Holocentridae,Sargocentron violaceum,0.0166,2.97,1,45,total length,3.55,29.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Priacanthus,hamrur,Priacanthidae,Priacanthus hamrur,0.018258,2.841246,1,45,total length,3.82,24.42,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Chromis,hypsilepis,Pomacentridae,Chromis hypsilepis,0.01479,2.98,1,16,standard length,2.71,32.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Prognathodes,aya,Chaetodontidae,Prognathodes aya,0.02188,3.02,1,15,total length,3.4,12,Tropical Atlantic,,invertivore-sessile,micro-invertivore,solitary
Xanthichthys,lima,Balistidae,Xanthichthys lima,0.01,3.04,1,,,3.5,38.43,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Rabaulichthys,squirei,Serranidae,Rabaulichthys squirei,0.00389,3.12,1,6.22,standard length,3.3,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pseudanthias,lunulatus,Serranidae,Pseudanthias lunulatus,0.01,3.04,1,8,standard length,3.3,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Bodianus,atrolumbus,Labridae,Bodianus atrolumbus,0.01202,3.06,1,30.7,standard length,3.5,44,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Halichoeres,nicholsi,Labridae,Halichoeres nicholsi,0.01,3.08,1,38,total length,4,37.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Caesio,varilineata,Caesioinidae,Caesio varilineata,0.01259,3.09,1,40,total length,3.4,28.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Apolemichthys,xanthopunctatus,Pomacanthidae,Apolemichthys xanthopunctatus,0.0302,2.89,1,25,total length,2.64,30.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,small group
Mugil,cephalus,Mugilidae,Mugil cephalus,0.012592,3.00135,1,100,standard length,2.48,50.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,large group
Notolabrus,tetricus,Labridae,Notolabrus tetricus,0.01995,2.99,1,50,total length,3.6,51.81,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Serranus,tigrinus,Serranidae,Serranus tigrinus,0.0145,3.048,1,29,fork length,3.72,38,Tropical Atlantic,,invertivore-mobile,macro-invertivore,pair
Nemipterus,peronii,Nemipteridae,Nemipterus peronii,0.009976,3.079966,1,29,standard length,3.6,26.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Schultzea,beta,Serranidae,Schultzea beta,0.00468,3.14,1,10,total length,3.4,13.79,Tropical Atlantic,,planktivore,planktivore,medium group
Zebrasoma,scopas,Acanthuridae,Zebrasoma scopas,0.034129,2.939876,1,40,standard length,2,66.27,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Hemiglyphidodon,plagiometopon,Pomacentridae,Hemiglyphidodon plagiometopon,0.002239,2.99,1,18,total length,2,29.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Sphyraena,guachancho,Sphyraenidae,Sphyraena guachancho,0.00808,2.88,1,200,total length,4.38,79.24,Tropical Atlantic,,piscivore,piscivore,large group
Thalassoma,hebraicum,Labridae,Thalassoma hebraicum,0.00977,3.05,1,23,total length,3.5,30.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Centropomus,pectinatus,Centropomidae,Centropomus pectinatus,0.014412,2.924673,1,56,total length,4.03,26.38,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Cephalopholis,nigripinnis,Serranidae,Cephalopholis nigripinnis,0.01259,3.05,1,28,total length,4,31.12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Cantherhines,cerinus,Monocanthidae,Cantherhines cerinus,0.02188,2.91,1,12,total length,3,20.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Cynoponticus,savanna,Muraenesocidae,Cynoponticus savanna,0.0009,2.74,1,150,total length,3.5,67.67,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Apogon,pseudomaculatus,Apogonidae,Apogon pseudomaculatus,0.02,2.943,0.961538,11,total length,3.4,10.53,Tropical Atlantic,,planktivore,planktivore,solitary
Istiblennius,edentulus,Blenniidae,Istiblennius edentulus,0.00741,3,1,16,total length,2,27.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,cropper/grazer,
Gerres,longirostris,Gerreidae,Gerres longirostris,0.015937,2.926372,1,44.5,total length,3.5,38.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Apolemichthys,trimaculatus,Pomacanthidae,Apolemichthys trimaculatus,0.0302,2.89,1,26,total length,2.64,31.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,small group
